start_station_name,start_lat,start_lng,count_s21
Avenue D & E 3 St,40.720828,-73.977931,3193
Avenue D & E 8 St,40.72387,-73.975767,189
Bainbridge Ave & E 193 St,40.86389,-73.89246,29
Baltic St & 5 Ave,40.679576,-73.978549,1947
Baltic St & 5 Ave,40.679577,-73.97855,16
Bank St & Hudson St,40.736528,-74.00618,4359
Bank St & Hudson St,40.736529,-74.00618,73
Bank St & Washington St,40.736196,-74.008592,3627
Bank St & Washington St,40.736197,-74.008592,89
Banker St & Meserole Ave,40.72606,-73.95621,1486
Barclay St & Church St,40.712912,-74.010202,2474
Barrow St & Hudson St,40.731724,-74.006744,4547
Barry St & Tiffany St,40.816126,-73.891559,88
Bay St & Court St,40.671409,-74.001328,241
Bayard St & Baxter St,40.716021,-73.999744,30
Bayard St & Baxter St,40.716021,-73.999743,4112
Bayard St & Leonard St,40.719155,-73.948853,1656
Bayard St & Leonard St,40.719156,-73.948854,18
Beaver St & Fayette St,40.70099,-73.93921,1159
Beck St & Leggett Ave,40.815077,-73.899939,246
Bedford Ave & Bergen St,40.676368,-73.952918,2308
Bedford Ave & Montgomery St,40.665816,-73.956934,1144
Bedford Ave & Nassau Ave,40.723116,-73.952123,3343
Bedford Ave & Nassau Ave,40.723117,-73.952123,54
Bedford Ave & S 9 St,40.70853,-73.964089,869
Bedford Ave & S 9 St,40.708531,-73.96409,28
Bedford Park Blvd & Paul Ave,40.87444,-73.89186,49
Bergen Ave & E 152 St,40.817166,-73.914737,196
Bergen St & 4 Ave,40.682564,-73.979898,18
Bergen St & 4 Ave,40.682564,-73.979897,1738
Bergen St & Flatbush Ave,40.680944,-73.975673,2114
Bergen St & Flatbush Ave,40.680945,-73.975673,12
Bergen St & Smith St,40.686744,-73.990632,32
Bergen St & Smith St,40.686744,-73.990631,3542
Bergen St & Vanderbilt Ave,40.679438,-73.968043,3396
Bergen St & Vanderbilt Ave,40.679439,-73.968044,34
Berkeley Pl & 6 Ave,40.67653,-73.978469,16
Berkeley Pl & 6 Ave,40.67653,-73.978468,1191
Berkeley Pl & 7 Ave,40.675146,-73.975232,2611
Berkeley Pl & 7 Ave,40.675147,-73.975232,7
Berry St & N 8 St,40.719009,-73.958525,3740
Berry St & N 8 St,40.71901,-73.958525,37
Bialystoker Pl & Delancey St,40.716226,-73.982612,1880
Boerum Pl\t& Pacific St,40.688489,-73.99116,159
Boerum St & Broadway,40.70538,-73.949765,1301
Boerum St & Broadway,40.705381,-73.949765,6
Bond St & Bergen St,40.684966,-73.986207,1353
Bond St & Bergen St,40.684967,-73.986208,16
Bond St & Fulton St,40.689621,-73.983042,2953
Bond St & Fulton St,40.689622,-73.983043,25
Boone Ave & E 172 St,40.832649,-73.885272,206
Boston Rd & E 167 St,40.828199,-73.903719,219
Boston Rd & Prospect Ave,40.833246,-73.896599,155
Bradhurst Ave & W 148 St,40.825125,-73.941616,789
Bridge St & Water St,40.702969,-73.984691,2
Bridge St & Water St,40.702969,-73.98469,563
Broad St & Bridge St,40.703651,-74.011677,1914
Broad St & Bridge St,40.703652,-74.011678,17
Broadway & 12 St,40.7668,-73.934777,601
Broadway & 49 St,40.755389,-73.911517,111
Broadway & 51 St,40.754164,-73.908906,379
Broadway & Battery Pl,40.704633,-74.013617,4613
Broadway & Berry St,40.710445,-73.96525,4252
Broadway & Berry St,40.710446,-73.965251,45
Broadway & E 14 St,40.734545,-73.990741,8425
Broadway & E 14 St,40.734546,-73.990741,114
Broadway & Ellwood St,40.862058,-73.929719,385
Broadway & Furman Ave,40.68139,-73.90756,269
Broadway & Hancock St,40.68663,-73.9168,641
Broadway & Kosciuszko St,40.69329,-73.92852,1082
Broadway & Madison St,40.68822,-73.91966,1007
Broadway & Moylan Pl,40.814325,-73.959025,1260
Broadway & Moylan Pl,40.814326,-73.959026,11
Broadway & Roebling St,40.709248,-73.960631,2084
Broadway & W 122 St,40.812056,-73.961255,11
Broadway & W 122 St,40.812056,-73.961254,1048
Broadway & W 131 St,40.817555,-73.957163,684
Broadway & W 133 St,40.819034,-73.956156,1008
Broadway & W 153 St,40.831327,-73.946665,476
Broadway & W 155 St,40.83299,-73.94592,806
Broadway & W 160 St,40.835775,-73.9434,1033
Broadway & W 165 St,40.839137,-73.941409,436
Broadway & W 168 St,40.840896,-73.939721,4
Broadway & W 168 St,40.840896,-73.93972,785
Broadway & W 185 St,40.852538,-73.93441,545
Broadway & W 192 St,40.857994,-73.932173,404
Broadway & W 220 St,40.872412,-73.912807,616
Broadway & W 25 St,40.742868,-73.989186,11409
Broadway & W 25 St,40.742869,-73.989186,222
Broadway & W 29 St,40.7462,-73.988557,5677
Broadway & W 29 St,40.746201,-73.988557,70
Broadway & W 36 St,40.750977,-73.987654,3437
Broadway & W 37 St,40.751726,-73.987535,1860
Broadway & W 38 St,40.752996,-73.987216,3418
Broadway & W 41 St,40.755135,-73.98658,5117
Broadway & W 41 St,40.755136,-73.98658,64
